time,K_trace,Hamiltonian_constraint
0.0001,-9.17912e-07,-2.99807e-08
0.0002,-1.83582e-06,-2.99875e-08
0.0003,-2.75373e-06,-2.9999e-08
0.0004,-3.67165e-06,-3.00151e-08
0.0005,-4.58956e-06,-3.00358e-08
0.0006,-5.50747e-06,-3.00611e-08
0.0007,-6.42538e-06,-3.00911e-08
0.0008,-7.34329e-06,-3.01257e-08
0.0009,-8.2612e-06,-3.01649e-08
0.001,-9.17912e-06,-3.02088e-08
0.0011,-1.0097e-05,-3.02572e-08
0.0012,-1.10149e-05,-3.03103e-08
0.0013,-1.19329e-05,-3.0368e-08
0.0014,-1.28508e-05,-3.04304e-08
0.0015,-1.37687e-05,-3.04973e-08
0.0016,-1.46866e-05,-3.05689e-08
0.0017,-1.56045e-05,-3.06451e-08
0.0018,-1.65224e-05,-3.07259e-08
0.0019,-1.74403e-05,-3.08114e-08
0.002,-1.83582e-05,-3.09015e-08
0.0021,-1.92762e-05,-3.09962e-08
0.0022,-2.01941e-05,-3.10955e-08
0.0023,-2.1112e-05,-3.11994e-08
0.0024,-2.20299e-05,-3.1308e-08
0.0025,-2.29478e-05,-3.14212e-08
0.0026,-2.38657e-05,-3.1539e-08
0.0027,-2.47836e-05,-3.16615e-08
0.0028,-2.57016e-05,-3.17885e-08
0.0029,-2.66195e-05,-3.19202e-08
0.003,-2.75374e-05,-3.20565e-08
0.0031,-2.84553e-05,-3.21975e-08
0.0032,-2.93732e-05,-3.2343e-08
0.0033,-3.02911e-05,-3.24932e-08
0.0034,-3.1209e-05,-3.2648e-08
0.0035,-3.2127e-05,-3.28075e-08
0.0036,-3.30449e-05,-3.29715e-08
0.0037,-3.39628e-05,-3.31402e-08
0.0038,-3.48807e-05,-3.33135e-08
0.0039,-3.57986e-05,-3.34914e-08
0.004,-3.67166e-05,-3.3674e-08
0.0041,-3.76345e-05,-3.38612e-08
0.0042,-3.85524e-05,-3.4053e-08
0.0043,-3.94703e-05,-3.42494e-08
0.0044,-4.03882e-05,-3.44504e-08
0.0045,-4.13062e-05,-3.46561e-08
0.0046,-4.22241e-05,-3.48664e-08
0.0047,-4.3142e-05,-3.50813e-08
0.0048,-4.40599e-05,-3.53009e-08
0.0049,-4.49778e-05,-3.5525e-08
0.005,-4.58958e-05,-3.57538e-08
0.0051,-4.68137e-05,-3.59872e-08
0.0052,-4.77316e-05,-3.62253e-08
0.0053,-4.86495e-05,-3.64679e-08
0.0054,-4.95675e-05,-3.67152e-08
0.0055,-5.04854e-05,-3.69671e-08
0.0056,-5.14033e-05,-3.72237e-08
0.0057,-5.23212e-05,-3.74848e-08
0.0058,-5.32392e-05,-3.77506e-08
0.0059,-5.41571e-05,-3.8021e-08
0.006,-5.5075e-05,-3.8296e-08
0.0061,-5.59929e-05,-3.85757e-08
0.0062,-5.69109e-05,-3.88599e-08
0.0063,-5.78288e-05,-3.91488e-08
0.0064,-5.87467e-05,-3.94424e-08
0.0065,-5.96647e-05,-3.97405e-08
0.0066,-6.05826e-05,-4.00433e-08
0.0067,-6.15005e-05,-4.03507e-08
0.0068,-6.24184e-05,-4.06627e-08
0.0069,-6.33364e-05,-4.09793e-08
0.007,-6.42543e-05,-4.13006e-08
0.0071,-6.51722e-05,-4.16265e-08
0.0072,-6.60902e-05,-4.1957e-08
0.0073,-6.70081e-05,-4.22921e-08
0.0074,-6.7926e-05,-4.26319e-08
0.0075,-6.8844e-05,-4.29763e-08
0.0076,-6.97619e-05,-4.33253e-08
0.0077,-7.06799e-05,-4.36789e-08
0.0078,-7.15978e-05,-4.40372e-08
0.0079,-7.25157e-05,-4.44001e-08
0.008,-7.34337e-05,-4.47676e-08
0.0081,-7.43516e-05,-4.51397e-08
0.0082,-7.52696e-05,-4.55164e-08
0.0083,-7.61875e-05,-4.58978e-08
0.0084,-7.71054e-05,-4.62838e-08
0.0085,-7.80234e-05,-4.66744e-08
0.0086,-7.89413e-05,-4.70697e-08
0.0087,-7.98593e-05,-4.74696e-08
0.0088,-8.07772e-05,-4.78741e-08
0.0089,-8.16952e-05,-4.82832e-08
0.009,-8.26131e-05,-4.86969e-08
0.0091,-8.35311e-05,-4.91153e-08
0.0092,-8.4449e-05,-4.95383e-08
0.0093,-8.5367e-05,-4.99659e-08
0.0094,-8.62849e-05,-5.03981e-08
0.0095,-8.72029e-05,-5.0835e-08
0.0096,-8.81208e-05,-5.12765e-08
0.0097,-8.90388e-05,-5.17226e-08
0.0098,-8.99567e-05,-5.21733e-08
0.0099,-9.08747e-05,-5.26287e-08
0.01,-9.17926e-05,-5.30887e-08
0.0101,-9.27106e-05,-5.35533e-08
0.0102,-9.36285e-05,-5.40225e-08
0.0103,-9.45465e-05,-5.44964e-08
0.0104,-9.54645e-05,-5.49748e-08
0.0105,-9.63824e-05,-5.54579e-08
0.0106,-9.73004e-05,-5.59457e-08
0.0107,-9.82183e-05,-5.6438e-08
0.0108,-9.91363e-05,-5.6935e-08
0.0109,-0.000100054,-5.74366e-08
0.011,-0.000100972,-5.79428e-08
0.0111,-0.00010189,-5.84537e-08
0.0112,-0.000102808,-5.89691e-08
0.0113,-0.000103726,-5.94892e-08
0.0114,-0.000104644,-6.00139e-08
0.0115,-0.000105562,-6.05433e-08
0.0116,-0.00010648,-6.10772e-08
0.0117,-0.000107398,-6.16158e-08
0.0118,-0.000108316,-6.2159e-08
0.0119,-0.000109234,-6.27069e-08
0.012,-0.000110152,-6.32593e-08
0.0121,-0.00011107,-6.38164e-08
0.0122,-0.000111988,-6.43781e-08
0.0123,-0.000112906,-6.49445e-08
0.0124,-0.000113824,-6.55154e-08
0.0125,-0.000114742,-6.6091e-08
0.0126,-0.00011566,-6.66712e-08
0.0127,-0.000116578,-6.72561e-08
0.0128,-0.000117496,-6.78455e-08
0.0129,-0.000118414,-6.84396e-08
0.013,-0.000119332,-6.90383e-08
0.0131,-0.00012025,-6.96416e-08
0.0132,-0.000121168,-7.02496e-08
0.0133,-0.000122086,-7.08621e-08
0.0134,-0.000123004,-7.14793e-08
0.0135,-0.000123922,-7.21012e-08
0.0136,-0.00012484,-7.27276e-08
0.0137,-0.000125758,-7.33587e-08
0.0138,-0.000126676,-7.39944e-08
0.0139,-0.000127594,-7.46347e-08
0.014,-0.000128512,-7.52797e-08
0.0141,-0.00012943,-7.59292e-08
0.0142,-0.000130348,-7.65834e-08
0.0143,-0.000131266,-7.72422e-08
0.0144,-0.000132184,-7.79057e-08
0.0145,-0.000133102,-7.85737e-08
0.0146,-0.00013402,-7.92464e-08
0.0147,-0.000134938,-7.99237e-08
0.0148,-0.000135856,-8.06057e-08
0.0149,-0.000136774,-8.12922e-08
0.015,-0.000137692,-8.19834e-08
0.0151,-0.00013861,-8.26792e-08
0.0152,-0.000139528,-8.33797e-08
0.0153,-0.000140446,-8.40847e-08
0.0154,-0.000141364,-8.47944e-08
0.0155,-0.000142282,-8.55087e-08
0.0156,-0.0001432,-8.62277e-08
0.0157,-0.000144118,-8.69512e-08
0.0158,-0.000145036,-8.76794e-08
0.0159,-0.000145954,-8.84122e-08
0.016,-0.000146872,-8.91496e-08
0.0161,-0.00014779,-8.98917e-08
0.0162,-0.000148708,-9.06384e-08
0.0163,-0.000149626,-9.13897e-08
0.0164,-0.000150544,-9.21456e-08
0.0165,-0.000151462,-9.29062e-08
0.0166,-0.00015238,-9.36713e-08
0.0167,-0.000153298,-9.44411e-08
0.0168,-0.000154216,-9.52156e-08
0.0169,-0.000155134,-9.59946e-08
0.017,-0.000156052,-9.67783e-08
0.0171,-0.00015697,-9.75666e-08
0.0172,-0.000157888,-9.83595e-08
0.0173,-0.000158806,-9.91571e-08
0.0174,-0.000159724,-9.99592e-08
0.0175,-0.000160642,-1.00766e-07
0.0176,-0.000161561,-1.01577e-07
0.0177,-0.000162479,-1.02393e-07
0.0178,-0.000163397,-1.03214e-07
0.0179,-0.000164315,-1.04039e-07
0.018,-0.000165233,-1.04869e-07
0.0181,-0.000166151,-1.05704e-07
0.0182,-0.000167069,-1.06543e-07
0.0183,-0.000167987,-1.07387e-07
0.0184,-0.000168905,-1.08235e-07
0.0185,-0.000169823,-1.09088e-07
0.0186,-0.000170741,-1.09946e-07
0.0187,-0.000171659,-1.10808e-07
0.0188,-0.000172577,-1.11675e-07
0.0189,-0.000173495,-1.12547e-07
0.019,-0.000174413,-1.13423e-07
0.0191,-0.000175331,-1.14304e-07
0.0192,-0.00017625,-1.15189e-07
0.0193,-0.000177168,-1.16079e-07
0.0194,-0.000178086,-1.16974e-07
0.0195,-0.000179004,-1.17873e-07
0.0196,-0.000179922,-1.18777e-07
0.0197,-0.00018084,-1.19686e-07
0.0198,-0.000181758,-1.20599e-07
0.0199,-0.000182676,-1.21516e-07
0.02,-0.000183594,-1.22439e-07
0.0201,-0.000184512,-1.23366e-07
0.0202,-0.00018543,-1.24298e-07
0.0203,-0.000186348,-1.25234e-07
0.0204,-0.000187267,-1.26175e-07
0.0205,-0.000188185,-1.2712e-07
