x,z,alpha,beta0,beta1,beta2,d_alpha_dt,d_beta0_dt,d_beta1_dt,d_beta2_dt
-256,-256,0.992344,0,0,0,-0,-0,-0,-0
-256,-251.969,0.992344,0,0,0,-0,-0,-0,-0
-256,-247.937,0.992349,0,0,0,-0,-0,-0,-0
-256,-243.906,0.992355,0,0,0,-0,-0,-0,-0
-256,-239.874,0.992363,0,0,0,-0,-0,-0,-0
-256,-235.843,0.992373,0,0,0,-0,-0,-0,-0
-256,-231.811,0.992385,0,0,0,-0,-0,-0,-0
-256,-227.78,0.992398,0,0,0,-0,-0,-0,-0
-256,-223.748,0.992413,0,0,0,-0,-0,-0,-0
-256,-219.717,0.992429,0,0,0,-0,-0,-0,-0
-256,-215.685,0.992448,0,0,0,-0,-0,-0,-0
-256,-211.654,0.992467,0,0,0,-0,-0,-0,-0
-256,-207.622,0.992489,0,0,0,-0,-0,-0,-0
-256,-203.591,0.992512,0,0,0,-0,-0,-0,-0
-256,-199.559,0.992536,0,0,0,-0,-0,-0,-0
-256,-195.528,0.992562,0,0,0,-0,-0,-0,-0
-256,-191.496,0.992589,0,0,0,-0,-0,-0,-0
-256,-187.465,0.992617,0,0,0,-0,-0,-0,-0
-256,-183.433,0.992647,0,0,0,-0,-0,-0,-0
-256,-179.402,0.992678,0,0,0,-0,-0,-0,-0
-256,-175.37,0.99271,0,0,0,-0,-0,-0,-0
-256,-171.339,0.992743,0,0,0,-0,-0,-0,-0
-256,-167.307,0.992778,0,0,0,-0,-0,-0,-0
-256,-163.276,0.992813,0,0,0,-0,-0,-0,-0
-256,-159.244,0.992849,0,0,0,-0,-0,-0,-0
-256,-155.213,0.992886,0,0,0,-0,-0,-0,-0
-256,-151.181,0.992924,0,0,0,-0,-0,-0,-0
-256,-147.15,0.992963,0,0,0,-0,-0,-0,-0
-256,-143.118,0.993002,0,0,0,-0,-0,-0,-0
-256,-139.087,0.993043,0,0,0,-0,-0,-0,-0
-256,-135.055,0.993084,0,0,0,-0,-0,-0,-0
-256,-131.024,0.993125,0,0,0,-0,-0,-0,-0
-256,-126.992,0.993167,0,0,0,-0,-0,-0,-0
-256,-122.961,0.99321,0,0,0,-0,-0,-0,-0
-256,-118.929,0.993252,0,0,0,-0,-0,-0,-0
-256,-114.898,0.993296,0,0,0,-0,-0,-0,-0
-256,-110.866,0.99334,0,0,0,-0,-0,-0,-0
-256,-106.835,0.993384,0,0,0,-0,-0,-0,-0
-256,-102.803,0.993428,0,0,0,-0,-0,-0,-0
-256,-98.7717,0.993472,0,0,0,-0,-0,-0,-0
-256,-94.7402,0.993517,0,0,0,-0,-0,-0,-0
-256,-90.7087,0.993562,0,0,0,-0,-0,-0,-0
-256,-86.6772,0.993607,0,0,0,-0,-0,-0,-0
-256,-82.6457,0.993652,0,0,0,-0,-0,-0,-0
-256,-78.6142,0.993697,0,0,0,-0,-0,-0,-0
-256,-74.5827,0.993743,0,0,0,-0,-0,-0,-0
-256,-70.5512,0.993788,0,0,0,-0,-0,-0,-0
